data,Val0,Val1,Val2,ttype,cellnames,gmm_cluster
Ephys,0.000393306,0.013306789,-0.006528471,Sst,SM-GE932_S094_E1-50,3
Ephys,-0.005367992,0.008931658,-0.00577311,Sst,SM-GE92K_S101_E1-50,3
Ephys,0.011426711,-0.007382798,0.009989702,Vip,SM-GE932_S085_E1-50,5
Ephys,0.013006614,-0.001753405,0.018305608,Vip,SM-GE932_S086_E1-50,1
Ephys,0.012704018,-0.003305904,0.017272491,Vip,SM-GE932_S078_E1-50,1
Ephys,0.013366769,-0.005727157,0.016300541,Vip,SM-GE92K_S103_E1-50,1
Ephys,0.012292932,-0.00638662,0.009492445,Vip,SM-GE92K_S104_E1-50,1
Ephys,0.008189093,0.000784967,0.011377411,Vip,SM-GE92K_S110_E1-50,5
Ephys,-0.002087337,0.013563405,-0.007905735,Sst,SM-GE92K_S123_E1-50,3
Ephys,0.013838878,-0.004332831,0.018860663,Vip,SM-GE92K_S117_E1-50,1
Ephys,0.010861264,-0.002690787,0.012520678,Vip,SM-GE92K_S111_E1-50,5
Ephys,0.013379605,-0.002677429,0.019525828,Vip,SM-GE92K_S118_E1-50,1
Ephys,0.012693647,-0.005508002,0.013969052,Vip,SM-GE92K_S140_E1-50,1
Ephys,0.014083681,-0.003977739,0.017832343,Vip,SM-GE92K_S112_E1-50,1
Ephys,-0.021389435,-0.008393666,0.006198263,Pvalb,SM-GE92K_S128_E1-50,2
Ephys,-0.018889859,-0.006203501,0.004375881,Pvalb,SM-GE92K_S137_E1-50,5
Ephys,-0.009626845,0.004400746,-0.001302746,Pvalb,SM-GE92K_S113_E1-50,5
Ephys,-0.016336574,-0.002550722,0.002631496,Pvalb,SM-GE92K_S143_E1-50,5
Ephys,0.013897863,-0.00327963,0.020202915,Vip,SM-GE92K_S157_E1-50,1
Ephys,0.013479042,-0.005004095,0.017387304,Vip,SM-GE92K_S149_E1-50,1
Ephys,0.013337601,-0.004359061,0.017592442,Vip,SM-GE92K_S151_E1-50,1
Ephys,0.013855683,-0.003704036,0.017941217,Vip,SM-GE92K_S161_E1-50,1
Ephys,0.008136475,0.002444428,0.009288595,Vip,SM-GE92K_S162_E1-50,5
Ephys,0.013485087,-0.003163433,0.01877458,Vip,SM-GE92K_S163_E1-50,1
Ephys,0.011078069,-0.000626866,0.014301172,Vip,SM-GE92K_S155_E1-50,1
Ephys,0.012802058,-0.003015826,0.016623636,Vip,SM-GE92K_S167_E1-50,1
Ephys,0.005706089,0.006587969,0.003801588,Vip,SM-GE92K_S186_E1-50,5
Ephys,0.013626545,-0.003935656,0.01897963,Vip,SM-GE92K_S187_E1-50,1
Ephys,0.01263755,-0.003418218,0.017480434,Vip,SM-GE92K_S188_E1-50,1
Ephys,0.000290943,0.015784538,-0.008074791,Sst,SM-GE92A_S011_E1-50,3
