"data","Val0","Val1","Val2","ttype","cellnames","gmm_cluster"
"Ephys",0.0313861971115069,-0.0180689565534318,0.010002805448394,"ET","20171204_sample_2",2
"Ephys",0.0314053110681711,-0.0180426098396221,0.00990297799584201,"IT","20171204_sample_4",2
"Ephys",0.0317723276356467,-0.0191836014601637,0.00907578489288741,"IT","20171204_sample_5",2
"Ephys",0.031569425886455,-0.017842632377774,0.00995562361573525,"ET","20171204_sample_6",2
"Ephys",0.0350118206484218,-0.023817264892806,0.0236456248314279,"ET","20171207_sample_1",1
"Ephys",0.0340533734972056,-0.0227720680090088,0.022992936450602,"ET","20171207_sample_2",1
"Ephys",0.0219316272916181,-0.0134039239384354,-0.0145391387004501,"IT","20171207_sample_6",1
"Ephys",0.0232121567590019,-0.0147975751165976,-0.0101495242049284,"IT","20171207_sample_7",1
"Ephys",0.0309122710405115,-0.0167910699313402,0.00778779354635423,"IT","20171219_sample_1",2
"Ephys",0.030256015006716,-0.0161823595234479,0.0095189696825798,"IT","20171219_sample_2",2
"Ephys",0.0299575449950995,-0.01555414129091,0.00706980553117761,"IT","20171219_sample_3",2
"Ephys",0.0284534033726794,-0.0134811677283106,0.0063583174456401,"ET","20171219_sample_4",2
"Ephys",0.0288819354194955,-0.0147074792526014,0.0116913369876799,"ET","20171219_sample_6",2
"Ephys",0.027437745645138,-0.0123102051780447,0.00333138585603983,"IT","20171219_sample_7",1
"Ephys",0.0298428721542507,-0.0180743798498715,0.0156364563246924,"ET","20171219_sample_8",2
"Ephys",0.0273937462927656,-0.01235368501715,0.00801181618701139,"ET","20180102_sample_1",2
"Ephys",0.0322121090244984,-0.0187340085914196,0.0122328058900452,"IT","20180102_sample_2",2
"Ephys",0.0247659376417137,-0.00937575574857737,0.00240310146693639,"ET","20180102_sample_3",1
"Ephys",0.029855246171984,-0.0162195407892937,0.0129051930774587,"ET","20180102_sample_4",2
"Ephys",0.0308605084298802,-0.0170454589117658,0.0072699367624887,"IT","20180102_sample_5",2
"Ephys",0.021505767703127,-0.00671097703896277,0.00333191006138788,"ET","20180103_sample_1",1
"Ephys",0.0364526140444414,-0.0257205085494618,0.0283878425257582,"ET","20180103_sample_2",1
"Ephys",0.0271476564152673,-0.0124710731568738,0.00542510399786234,"ET","20180103_sample_3",2
"Ephys",0.0303809182719436,-0.0163927184908485,0.00789769741190478,"IT","20180103_sample_5",2
"Ephys",0.0310352728807664,-0.017250502799749,0.00866849755922847,"IT","20180103_sample_6",2
"Ephys",0.0276150475656382,-0.0138412939373084,0.00800005565134389,"IT","20180103_sample_7",2
"Ephys",0.0275699912474301,-0.0137556007686414,0.00440722695623238,"IT","20180103_sample_8",2
"Ephys",0.0299698895794637,-0.0154626100447785,0.00835989434720169,"IT","20180104_sample_2",2
"Ephys",0.0300423546765285,-0.0166930907266899,0.00802427774220012,"IT","20180104_sample_3",2
"Ephys",0.0197974933314499,-0.00436311192987511,-0.00329352282467641,"ET","20180104_sample_6",1
"Ephys",0.0284196550295093,-0.0159242947328403,0.0111400960873593,"IT","20180105_sample_4",2
"Ephys",0.0315624001857797,-0.0177250523955667,0.00997591658940035,"IT","20180105_sample_5",2
"Ephys",0.0306870607610562,-0.0162235321182789,0.00747254007572148,"IT","20180105_sample_6",2
"Ephys",0.0319525655547841,-0.0183173523672146,0.00915466516071825,"IT","20180108_sample_1",2
"Ephys",0.029604394843343,-0.0164681589555435,0.007766851237442,"IT","20180108_sample_3",2
"Ephys",0.0188023149751089,-0.00585927698451848,0.00131007810579337,"ET","20180108_sample_4",1
"Ephys",0.0292367860769572,-0.0150838864266512,0.0104692448538718,"ET","20180108_sample_5",2
"Ephys",0.0282023950033352,-0.015545705347274,0.00682269268646477,"IT","20180108_sample_7",2
"Ephys",0.0213036670782027,-0.00461226598097348,0.00106575822893206,"ET","20180108_sample_8",1
"Ephys",0.02065512629056,-0.00563976260015801,-0.0220426645542923,"IT","20180108_sample_9",1
"Ephys",0.0227913087612179,-0.00693271081600249,-0.0032657061120951,"ET","20180108_sample_10",1
"Ephys",0.0279831629497573,-0.015502570063743,0.00884067989375224,"IT","20180109_sample_1",2
"Ephys",0.0269923350890151,-0.0130572072376669,0.0081132512625311,"IT","20180109_sample_2",2
"Ephys",0.0289924763518834,-0.0140249443074203,0.00500297068432373,"IT","20180109_sample_5",2
"Ephys",0.0252690447776139,-0.010706394916088,-0.000570842245265204,"IT","20180110_sample_1",2
"Ephys",0.0298095300289446,-0.0159316743857968,0.00683206728641166,"IT","20180110_sample_2",2
"Ephys",0.0288610310156046,-0.0142600222583637,0.00496422908673429,"IT","20180110_sample_3",2
"Ephys",0.0276683210643768,-0.0129641767453637,-0.000403958084885911,"IT","20180110_sample_4",2
"Ephys",0.0293733308020949,-0.0149625388693933,0.00510024023636393,"IT","20180110_sample_5",2
"Ephys",0.029325082604266,-0.014555649309863,0.00548899120161306,"IT","20180110_sample_7",2
"Ephys",0.0257369932223032,-0.0106678490622052,0.00551322598000648,"ET","20180110_sample_8",1
"Ephys",0.0272057787848975,-0.014379853174178,0.00404783160674045,"IT","20180111_sample_5",2
"Ephys",0.029466754000103,-0.0168645493377539,0.00446462052263759,"IT","20180115_sample_2",2
"Ephys",0.0312771562620688,-0.0179432852752996,0.00747679928761121,"IT","20180115_sample_5",2
"Ephys",0.033275222113038,-0.0220483671325913,0.018639550752303,"IT","20180115_sample_7",2
"Ephys",0.0274464190012872,-0.0123625114769364,0.00487270465010168,"IT","20180115_sample_8",2
"Ephys",0.0277429912779587,-0.0154500641540433,0.00817768481250707,"IT","20180115_sample_9",2
"Ephys",0.0285779597577781,-0.0179511893032043,0.0116069919794991,"IT","20180118_sample_1",2
"Ephys",0.0299002391236254,-0.0157511976636462,0.00786786909486949,"IT","20180118_sample_2",2
"Ephys",0.027893343362761,-0.0153038384157303,0.0069369649847486,"IT","20180118_sample_4",2
"Ephys",0.0323361120491721,-0.0186953590010334,0.0105837721578206,"IT","20180118_sample_6",2
"Ephys",0.0343496083447372,-0.0227697397138197,0.0235051182576208,"ET","20180118_sample_7",1
"Ephys",0.0354873585131491,-0.0247696518816122,0.0244834343310774,"ET","20180118_sample_10",1
"Ephys",0.0360291154557439,-0.0244417235366957,0.022821757060334,"ET","20180123_sample_1",1
"Ephys",0.0259091329001774,-0.0103751513787326,0.00387263671152264,"ET","20180123_sample_3",1
"Ephys",0.0184282267638914,-0.00380545420352205,-0.000746761114151343,"ET","20180123_sample_5",1
"Ephys",0.0330391340267098,-0.0203698420479697,0.0160248561766722,"ET","20180123_sample_6",2
"Ephys",0.0283160282682081,-0.0133294660715142,0.00738975447931496,"ET","20180123_sample_7",2
"Ephys",0.0251717098891531,-0.00998060953202034,0.00694188720429785,"ET","20180208_sample_2",1
"Ephys",0.0116803906428935,0.00680257252951909,0.00887552748285532,"ET","20180208_sample_3",1
"Ephys",0.0287886998193435,-0.0140556548829873,0.00635342543359055,"IT","20180208_sample_4",2
"Ephys",0.0128105572048213,0.00381922325661684,0.0115791974136679,"IT","20180208_sample_5",1
"Ephys",0.0240867424651466,-0.00943418584972308,0.00477681642571342,"ET","20180213_sample_3",1
"Ephys",-0.0278448223102656,-0.0234357947933392,0.00336011190246811,"Pvalb","20180213_sample_5",3
"Ephys",-0.0223347884581437,-0.0124068314354185,-0.000581176120967952,"Pvalb","20180215_sample_1",1
"Ephys",-0.0106115565123305,0.0176320042603718,0.0163520329585036,"Sst","20180220_sample_1",4
"Ephys",0.0294428969040992,-0.0159546977883467,0.00626896535490816,"IT","20180220_sample_2",2
"Ephys",0.0299039100393528,-0.0158889333144779,0.0176554704766922,"IT","20180225_sample_1",2
"Ephys",0.0303090574428745,-0.0170252393055759,0.00803615106988944,"IT","20180225_sample_2",2
"Ephys",0.0315683538621389,-0.0178604719520392,0.00982939214514804,"IT","20180225_sample_3",2
"Ephys",0.0293542712588795,-0.0152952674696384,0.00502757921090149,"IT","20180225_sample_4",2
"Ephys",0.0257572840454024,-0.0108032141992131,0.00714346782469724,"ET","20180225_sample_5",1
"Ephys",-0.0292365895476827,-0.0286762762756953,-0.000832595523939648,"Pvalb","20180225_sample_7",3
"Ephys",-0.0245482540506812,-0.0211504858748689,-0.00246869557708227,"Pvalb","20180306_sample_1",1
"Ephys",0.025916532562761,-0.0173839936159459,0.0116839130417485,"IT","20180306_sample_2",2
"Ephys",0.0277987132553724,-0.0152995045375897,0.00696280191668571,"IT","20180306_sample_3",2
"Ephys",0.0311501762811384,-0.0184940757108082,0.0123745406734777,"IT","20180306_sample_5",2
"Ephys",0.0252261113413205,-0.0132659194932154,0.00533420407507788,"IT","20180309_sample_4",2
"Ephys",0.0248600934239009,-0.0111379658328144,0.0061215278415997,"IT","20180309_sample_6",2
"Ephys",0.0295275620301419,-0.0149666291585995,0.00735786714051127,"IT","20180309_sample_7",2
"Ephys",0.0290842795292845,-0.0171032036030163,0.00667118812853494,"IT","20180309_sample_8",2
"Ephys",0.0300390642702413,-0.0157838724806546,0.010161235054724,"ET","20180313_sample_2",2
"Ephys",0.026339342207512,-0.0143430538019464,0.00651978909806128,"IT","20180313_sample_7",2
"Ephys",-0.0280026758843591,-0.0267686360402736,0.00233445140227332,"Pvalb","20180313_sample_9",3
"Ephys",0.0257935429705801,-0.0102625997884651,0.00633973771172811,"ET","20180315_sample_1",2
"Ephys",0.0325954991915963,-0.0195450271928708,0.0152104839202902,"IT","20180315_sample_5",2
"Ephys",-0.00236611469062793,-0.00878027069447272,0.0117507851787298,"IT","20180315_sample_6",1
"Ephys",0.0273949255233587,-0.0143453636277707,0.00530895124863213,"IT","20180321_sample_2",2
"Ephys",0.0305645161548732,-0.0167014700068448,0.00385300514203142,"IT","20180321_sample_3",2
"Ephys",0.00930787885602874,0.0081933362149631,0.0228035305060844,"IT","20180321_sample_4",1
"Ephys",0.0299960515784162,-0.0178018133333938,0.00947059589904569,"ET","20180321_sample_8",2
"Ephys",0.0290186923573581,-0.0160308175004157,0.006828419882617,"ET","20180321_sample_9",2
"Ephys",0.0325394343101074,-0.0197743902953904,0.0146643257226654,"IT","20180322_sample_1",2
"Ephys",0.0312581200071357,-0.0179087806800696,0.00989858393363515,"IT","20180322_sample_2",2
"Ephys",0.0289208959212463,-0.0150788766754828,0.00474450288808169,"IT","20180322_sample_3",2
"Ephys",0.0305446475422609,-0.0162654928969628,0.00760616517062891,"IT","20180322_sample_4",2
"Ephys",0.0287910189067662,-0.0147663242494182,0.00600784038749164,"IT","20180322_sample_5",2
"Ephys",0.0208609160738993,-0.00367188169034079,-0.00327733467541515,"ET","20180322_sample_6",1
"Ephys",0.027364983523294,-0.0121781658436242,0.00169303249982119,"ET","20180322_sample_7",2
"Ephys",-0.0267215764980272,-0.0232247790309179,0.00364952986067461,"Pvalb","20180327_sample_1",3
"Ephys",-0.0300237327149223,-0.0297709506797563,0.00329420180108541,"Pvalb","20180327_sample_2",3
"Ephys",0.0278235854206564,-0.0137612275008591,0.00437420207296732,"IT","20180327_sample_3",2
"Ephys",-0.0296614100402334,-0.0305244322874344,-0.00170721738745786,"Pvalb","20180327_sample_4",3
"Ephys",-0.0281753894247726,-0.0266587402098845,-0.000408086975176844,"Pvalb","20180327_sample_5",3
"Ephys",0.0305594960357571,-0.0163514925625723,0.00809282639782533,"IT","20180327_sample_6",2
"Ephys",0.0261934653323406,-0.0121880887571331,0.00712685982362525,"IT","20180329_sample_1",2
"Ephys",0.0288203580079969,-0.0147668947851652,0.00641885277990377,"IT","20180329_sample_2",2
"Ephys",0.0298733505187914,-0.0160539491452851,0.00825813648358415,"IT","20180329_sample_3",2
"Ephys",0.0267838641137931,-0.0118027341681344,0.00340259057764932,"ET","20180329_sample_4",2
"Ephys",0.0319100535890059,-0.0189546079357705,0.0131484469163609,"IT","20180329_sample_5",2
"Ephys",0.0289372435731793,-0.0162040722493112,0.0069982689141859,"IT","20180329_sample_6",2
"Ephys",0.0318202233046298,-0.018537202692608,0.0135904790913764,"IT","20180329_sample_8",2
"Ephys",0.024360121853844,-0.00866645660759043,0.00219627320771753,"ET","20180403_sample_6",1
"Ephys",0.0307204357618393,-0.0172937211028849,0.00862106416108881,"IT","20180403_sample_7",2
"Ephys",-0.0106560705980826,-0.00970514835369897,0.00557154795245416,"Pvalb","20180404_sample_1",1
"Ephys",-0.0273682035349543,-0.0217222657739933,0.00723724040575715,"Pvalb","20180404_sample_2",3
"Ephys",0.0282530664481126,-0.0137300010518831,0.00656677514512256,"IT","20180404_sample_3",2
"Ephys",-0.0314525720231142,-0.0328747483707953,-0.00122616443559135,"Pvalb","20180404_sample_4",3
"Ephys",-0.0287678282239176,-0.0250480168305855,0.00510782992401813,"Pvalb","20180404_sample_5",3
"Ephys",0.0284134973117718,-0.0164281177989499,0.00889646832058863,"IT","20180404_sample_7",2
"Ephys",0.0251325183336287,-0.0103750749874114,0.00531334524059729,"ET","20180405_sample_1",2
"Ephys",0.0293060165462398,-0.0154423384987109,0.00899209477690015,"IT","20180405_sample_2",2
"Ephys",0.029375924862955,-0.016102851315305,0.00881733170907487,"IT","20180405_sample_3",2
"Ephys",-0.0327321054041492,-0.0357858707965352,0.000467679664963606,"Pvalb","20180410_sample_1",3
"Ephys",0.0288622875168003,-0.015116609407934,0.00474946625049172,"IT","20180410_sample_3",2
"Ephys",0.034175731325207,-0.0216501869121876,0.0165731820490659,"IT","20180410_sample_4",2
"Ephys",0.0345941884403185,-0.0225942543887653,0.0180562541125824,"IT","20180410_sample_5",2
"Ephys",0.032273189117032,-0.0200921176960347,0.0136898651339343,"IT","20180410_sample_6",2
"Ephys",-0.0258260699643469,-0.0278906238211696,0.00362079282291585,"Pvalb","20180410_sample_9",3
"Ephys",0.0312156989173806,-0.0170317627547269,0.0102234192934672,"IT","20180411_sample_1",2
"Ephys",0.0291704353472346,-0.0147716958891366,0.00553068712863776,"IT","20180411_sample_3",2
"Ephys",-0.0295696877761193,-0.0286440174253335,-0.000947712072936991,"Pvalb","20180411_sample_4",3
"Ephys",-0.0281837543981323,-0.0269435033633294,-0.000200932350136961,"Pvalb","20180411_sample_5",3
