"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fam19a51",5.52147171429436e-30,0.318020273421357,0.96,0.873,7.18895617201126e-27,"Cluster 4","Fam19a5"
"Erbb42",1.426059841602e-29,0.339995085806983,0.995,0.954,1.85672991376581e-26,"Cluster 4","Erbb4"
"Ghr1",1.6483344125707e-29,0.539543828680605,0.719,0.476,2.14613140516705e-26,"Cluster 4","Ghr"
"Zeb1",2.14247467311598e-29,0.365322482643983,0.906,0.823,2.789502024397e-26,"Cluster 4","Zeb1"
"Cap21",2.7455123413227e-29,0.323307710150979,0.947,0.838,3.57465706840216e-26,"Cluster 4","Cap2"
"Slco3a11",2.89982174409415e-29,0.356316839680856,0.92,0.83,3.77556791081059e-26,"Cluster 4","Slco3a1"
"Ipcef1",4.24284547006728e-29,0.561111927192535,0.439,0.204,5.5241848020276e-26,"Cluster 4","Ipcef1"
"Arid5b1",4.27279175058626e-29,0.351489129417127,0.936,0.809,5.56317485926331e-26,"Cluster 4","Arid5b"
"Mir99ahg1",9.89831044224815e-29,0.342347896829597,0.941,0.832,1.28876001958071e-25,"Cluster 4","Mir99ahg"
"Map2k1",1.0097104492205e-28,0.364240129373523,0.914,0.83,1.31464300488509e-25,"Cluster 4","Map2k1"
"Miat",2.17255234158947e-28,0.347071817205733,0.922,0.776,2.82866314874949e-25,"Cluster 4","Miat"
"Fat11",5.08512946091014e-28,0.492726167122714,0.709,0.445,6.62083855810501e-25,"Cluster 4","Fat1"
"Rasgrf2",6.26448114238402e-28,0.31465342003452,0.965,0.9,8.15635444738399e-25,"Cluster 4","Rasgrf2"
"Dlc1",3.19614235113863e-27,0.333596213589927,0.949,0.917,4.1613773411825e-24,"Cluster 4","Dlc1"
"Adamtsl3",1.68474179703469e-26,0.620777355929499,0.289,0.112,2.19353381973916e-23,"Cluster 4","Adamtsl3"
"Rxfp11",1.25288952849447e-25,0.649499014230208,0.479,0.242,1.6312621660998e-22,"Cluster 4","Rxfp1"
"Kcnd3",1.42775415737662e-25,0.32892131578001,0.939,0.826,1.85893591290436e-22,"Cluster 4","Kcnd3"
"Snca1",1.52284965839625e-25,0.368854799519893,0.898,0.71,1.98275025523191e-22,"Cluster 4","Snca"
"Rnf180",2.62629620186691e-24,0.421422439312629,0.797,0.645,3.41943765483071e-21,"Cluster 4","Rnf180"
"Ptchd4",3.3079774717529e-24,0.289039951324347,0.952,0.886,4.30698666822228e-21,"Cluster 4","Ptchd4"
"Snx10",3.36629621002824e-24,0.318939660791753,0.939,0.825,4.38291766545677e-21,"Cluster 4","Snx10"
"Mef2a",6.35880859474182e-24,0.251590887726502,0.976,0.923,8.27916879035385e-21,"Cluster 4","Mef2a"
"Gpr155",9.14611528394826e-24,0.448981123396457,0.709,0.496,1.19082420997006e-20,"Cluster 4","Gpr155"
"Shank21",1.12933924267712e-23,0.300555074335821,0.952,0.895,1.47039969396561e-20,"Cluster 4","Shank2"
"Gda1",8.02745207863838e-23,0.42527005746975,0.754,0.54,1.04517426063872e-19,"Cluster 4","Gda"
"Cyp46a1",1.06845421935683e-22,0.264184064177593,0.965,0.892,1.39112739360259e-19,"Cluster 4","Cyp46a1"
"Gabra12",1.25031485733794e-22,0.288997882110268,0.989,0.857,1.62790994425399e-19,"Cluster 4","Gabra1"
"Pknox2",2.09549940934473e-22,0.288192262368141,0.93,0.873,2.72834023096684e-19,"Cluster 4","Pknox2"
"Man1a21",3.1812404175506e-22,0.275029308011927,0.971,0.923,4.14197502365088e-19,"Cluster 4","Man1a2"
"Fmn11",1.53820467212494e-21,0.313509528231527,0.939,0.845,2.00274248310668e-18,"Cluster 4","Fmn1"
"Bcl11a1",7.84858208693499e-21,0.298048196557799,0.936,0.749,1.02188538771894e-17,"Cluster 4","Bcl11a"
"Grik11",2.45611728693184e-20,0.307652884122328,0.957,0.891,3.19786470758525e-17,"Cluster 4","Grik1"
"Gdap1",3.89572869054247e-20,0.269144696750168,0.912,0.868,5.0722387550863e-17,"Cluster 4","Gdap1"
"Slc39a11",9.45779958879646e-20,0.400361231732926,0.789,0.638,1.2314055064613e-16,"Cluster 4","Slc39a11"
"Kcnip4",3.27631164916437e-19,0.270833205812404,0.992,0.965,4.26575776721202e-16,"Cluster 4","Kcnip4"
"Phyhip",2.36268930166039e-18,0.278931023713456,0.703,0.492,3.07622147076183e-15,"Cluster 4","Phyhip"
"Ctxn1",2.7351133798462e-18,0.345563898214302,0.824,0.654,3.56111762055975e-15,"Cluster 4","Ctxn1"
"Coro61",6.59254803028952e-18,0.290235704513175,0.856,0.644,8.58349753543696e-15,"Cluster 4","Coro6"
"Shc3",7.84973545418275e-18,0.296515567166758,0.893,0.815,1.02203555613459e-14,"Cluster 4","Shc3"
"Nxph12",1.65471761375054e-17,0.298414217886132,0.971,0.78,2.1544423331032e-14,"Cluster 4","Nxph1"
"Wif11",1.76916242889203e-17,0.523007555090053,0.765,0.658,2.30344948241742e-14,"Cluster 4","Wif1"
"Kctd1",1.78839567234626e-17,0.345663565667495,0.714,0.53,2.32849116539484e-14,"Cluster 4","Kctd1"
"Sema3e",3.00445026881701e-17,0.443988446428645,0.821,0.704,3.91179424999974e-14,"Cluster 4","Sema3e"
"Lrrn2",5.42207139937567e-17,0.330472196919892,0.791,0.668,7.05953696198713e-14,"Cluster 4","Lrrn2"
"Synj2",8.32374221278591e-17,0.370629263352079,0.939,0.881,1.08375123610473e-13,"Cluster 4","Synj2"
"Trps11",1.23888578519554e-16,0.263758915182528,0.85,0.645,1.61302929232459e-13,"Cluster 4","Trps1"
"Nwd2",3.32675556301179e-16,0.390847144341619,0.687,0.503,4.33143574304135e-13,"Cluster 4","Nwd2"
"Sphkap",1.30138860080135e-15,0.302311913874918,0.775,0.572,1.69440795824336e-12,"Cluster 4","Sphkap"
"Sh3pxd2a",2.04266707015172e-14,0.28354175202158,0.837,0.727,2.65955252533754e-11,"Cluster 4","Sh3pxd2a"
"Plekha6",6.60349171341769e-14,0.261658315422068,0.861,0.801,8.59774621086984e-11,"Cluster 4","Plekha6"
"Arl4c",2.10730928482274e-13,0.261269077804999,0.858,0.762,2.74371668883921e-10,"Cluster 4","Arl4c"
"Abcc81",3.21220716446984e-13,0.340714737813482,0.596,0.42,4.18229372813973e-10,"Cluster 4","Abcc8"
"Atg7",5.20997987189941e-11,0.292566356466461,0.714,0.59,6.78339379321303e-08,"Cluster 4","Atg7"
"Ntng2",2.69766279385464e-09,0.312289954074962,0.259,0.15,3.51235695759875e-06,"Cluster 4","Ntng2"
"Pls3",2.44092858196361e-08,0.259528082411061,0.789,0.73,3.17808901371663e-05,"Cluster 4","Pls3"
"Ptk2b",5.18952066711546e-08,0.277910996697938,0.73,0.645,6.75675590858433e-05,"Cluster 4","Ptk2b"
"Mtus1",5.32288781407187e-07,0.27376508346807,0.527,0.412,0.000693039993392158,"Cluster 4","Mtus1"
"Frem11",1.05660433401148e-06,0.270420487821901,0.27,0.173,0.00137569884288294,"Cluster 4","Frem1"
"Sv2b",2.8831405411701e-05,0.258295219375407,0.406,0.324,0.0375384898460347,"Cluster 4","Sv2b"
"Cxcl141",4.34817286819953e-14,0.361615121635215,0.646,0.56,5.66132107439578e-11,"Cluster 5","Cxcl14"
"Cck1",7.35916008866876e-14,0.358399352655357,0.635,0.543,9.58162643544672e-11,"Cluster 5","Cck"
"Rgs121",9.55960550549243e-13,0.551661417754918,0.418,0.314,1.24466063681511e-09,"Cluster 5","Rgs12"
"Ldb21",1.0849605729865e-10,0.33836081614335,0.562,0.468,1.41261866602842e-07,"Cluster 5","Ldb2"
"Frem12",1.39466238422953e-10,0.509793960904496,0.256,0.165,1.81585042426685e-07,"Cluster 5","Frem1"
"Col25a1",6.97282212854497e-10,0.399803113157438,0.566,0.468,9.07861441136555e-07,"Cluster 5","Col25a1"
"Gulp11",1.69236504681078e-08,0.306232081180894,0.31,0.224,2.20345929094763e-05,"Cluster 5","Gulp1"
"Nr2f22",2.09971869379346e-08,0.299820829451722,0.438,0.356,2.73383373931909e-05,"Cluster 5","Nr2f2"
"Cadps21",2.2809795414227e-08,0.963450560214968,0.582,0.544,2.96983536293236e-05,"Cluster 5","Cadps2"
"Necab12",1.17598441845271e-07,0.312502676915875,0.557,0.482,0.000153113171282542,"Cluster 5","Necab1"
"Trpm3",5.24113088297334e-07,0.359615976169797,0.795,0.749,0.000682395240963128,"Cluster 5","Trpm3"
"Fam19a1",1.21669214955758e-05,0.328875232107116,0.454,0.397,0.0158413317872397,"Cluster 5","Fam19a1"
"Rxfp12",0.000782913847196382,0.251403828689311,0.308,0.256,1,"Cluster 5","Rxfp1"
