"data","Val0","Val1","Val2","class","cellnames","gmm_cluster"
"Ephys",0.0117076366242373,-0.0252754810909629,-0.0270273008638838,"Lamp5","SM-GE63H_S102_E1-50",4
"Ephys",0.010287954916517,-0.00719772260915638,0.00430714358531764,"Vip","SM-GE63H_S100_E1-50",5
"Ephys",-0.0117676318216382,-0.00763857090821768,0.00355543175034824,"Pvalb","SM-GE63H_S119_E1-50",5
"Ephys",0.0104108475297326,-5.38334505558427e-05,0.0121015552001629,"Vip","SM-GE63H_S126_E1-50",1
"Ephys",0.013204146962729,-0.00228351459266632,0.0185668283425618,"Vip","SM-GE63H_S127_E1-50",1
"Ephys",0.0145627212685043,-0.00527107253597011,0.0204811665361931,"Vip","SM-GE63H_S132_E1-50",1
"Ephys",0.014595249234721,-0.0049562430161295,0.0210056120421956,"Vip","SM-GE63H_S121_E1-50",1
"Ephys",0.0108418326014244,-0.00388620671080937,0.0131610960905226,"Vip","SM-GE63H_S128_E1-50",5
"Ephys",0.0116555246151133,-0.00629128138865177,0.0125256562697835,"Vip","SM-GE63H_S122_E1-50",5
"Ephys",-0.0130054905529179,-0.00754057689531033,0.00371553649611006,"Pvalb","SM-GE63H_S152_E1-50",5
"Ephys",0.0136268180810525,-0.00489441744025327,0.017007930718353,"Vip","SM-GE63H_S142_E1-50",1
"Ephys",-0.000173295687063072,0.0130818804681148,-0.00691445480746075,"Sst","SM-GE63H_S143_E1-50",3
"Ephys",0.0115061302392006,-0.0256385822601407,-0.0278642160941357,"Lamp5","SM-GE63H_S147_E1-50",4
"Ephys",0.00945812344535635,-0.0030017186820287,0.0087035332091687,"Vip","SM-GE63H_S135_E1-50",5
"Ephys",-0.0207121258438375,-0.00969657367663344,0.00555221717984429,"Pvalb","SM-GE63H_S136_E1-50",2
"Ephys",0.00154331598577481,0.00895681992543703,-0.00526679719052557,"Sst","SM-GE63H_S145_E1-50",5
"Ephys",0.0119467056416382,-0.0255668110300662,-0.0275906447114799,"Lamp5","SM-GE63H_S169_E1-50",4
"Ephys",-0.0203020621857914,-0.0082714871929595,0.00510363256039451,"Pvalb","SM-GE63H_S165_E1-50",2
"Ephys",0.0117753614371944,-0.00326123185074258,0.0146120536751841,"Vip","SM-GE63H_S175_E1-50",1
"Ephys",-0.00132293842241213,0.0133515390310614,-0.00809205094874525,"Sst","SM-GE63H_S172_E1-50",3
"Ephys",0.0145126032429844,-0.00525728487509991,0.0202914261549768,"Vip","SM-GE63H_S153_E1-50",1
"Ephys",-0.0117184239588744,-0.00787384395409191,0.00581726079185596,"Pvalb","SM-GE63H_S179_E1-50",5
"Ephys",0.000428784945746882,0.0128811891994307,-0.00618949020622422,"Sst","SM-GE63H_S155_E1-50",3
"Ephys",-0.0172860698314936,-0.00878581749023122,0.00524735240842447,"Pvalb","SM-GE63H_S156_E1-50",5
"Ephys",0.0105065105818421,-0.00324508531573298,0.0129512768321008,"Vip","SM-GE65C_S101_E1-50",5
"Ephys",-0.0159297239944811,-0.00880058792747602,0.0047861948222245,"Pvalb","SM-GE65C_S098_E1-50",5
"Ephys",-0.00170478943685274,0.0102988892664662,-0.00540421047801628,"Sst","SM-GE63H_S157_E1-50",3
"Ephys",0.0011127131446323,0.0123896656998316,-0.00519779309783137,"Sst","SM-GE63H_S159_E1-50",3
"Ephys",-0.0216347640371189,-0.00916362304796412,0.00662442547395568,"Pvalb","SM-GE63H_S176_E1-50",2
"Ephys",-0.000284557410627909,0.00547179297283958,-0.00404525780213436,"Lamp5","SM-GE65C_S105_E1-50",5
"Ephys",-0.00259550389175312,0.00958918422310699,-0.00601577546031888,"Sst","SM-GE63H_S168_E1-50",3
"Ephys",-0.00624774799253456,0.00483201447867606,-0.000689347550285421,"Sst","SM-GE65C_S113_E1-50",5
"Ephys",-0.0152886371213759,-0.00366856165794647,0.00326752260568541,"Pvalb","SM-GE63H_S183_E1-50",5
"Ephys",-0.0102422001164803,0.00386853958536347,-0.0016430171111834,"Pvalb","SM-GE65C_S124_E1-50",5
